Id,Hazard,T1_V1,T1_V2,T1_V3,T1_V4,T1_V5,T1_V6,T1_V7,T1_V8,T1_V9,T1_V10,T1_V11,T1_V12,T1_V13,T1_V14,T1_V15,T1_V16,T1_V17,T2_V1,T2_V2,T2_V3,T2_V4,T2_V5,T2_V6,T2_V7,T2_V8,T2_V9,T2_V10,T2_V11,T2_V12,T2_V13,T2_V14,T2_V15
14983,1,16,15,2,E,B,N,B,B,D,12,B,B,20,3,A,I,N,23,11,N,3,B,2,40,1,8,7,Y,N,C,2,1
14984,1,11,16,2,N,C,N,B,B,D,7,L,A,10,1,A,D,N,29,12,N,12,A,4,37,1,19,1,Y,N,E,4,3
14985,1,3,19,6,C,K,Y,B,B,E,3,I,B,15,1,A,R,Y,64,13,N,5,A,2,34,1,23,3,Y,Y,E,2,3
14986,0,5,5,4,C,A,N,B,B,D,12,B,B,15,3,N,B,Y,65,9,N,6,A,2,40,1,4,7,Y,Y,E,2,1
14992,0,6,3,1,B,A,N,B,B,B,12,B,B,15,4,A,B,N,31,12,Y,4,B,2,40,1,7,7,Y,N,D,4,1
15000,0,13,22,6,N,K,Y,B,B,E,8,J,B,10,1,A,R,Y,70,22,N,12,A,1,34,1,13,1,Y,Y,E,1,1
15001,0,15,15,5,N,K,N,B,B,E,3,J,B,10,3,A,J,Y,68,14,N,9,A,2,22,1,6,6,N,N,E,2,2
15002,0,16,7,1,B,J,N,B,B,E,3,J,B,15,1,A,J,N,36,8,Y,18,A,2,34,1,23,4,Y,N,E,2,5
15003,1,6,18,4,E,A,N,B,B,D,8,B,B,15,1,A,B,N,98,11,N,7,A,2,31,1,18,4,N,N,A,5,4
15004,0,2,5,3,C,K,Y,B,B,E,2,H,B,10,1,N,K,Y,99,12,N,15,A,2,28,1,4,7,Y,Y,E,2,1
15005,1,17,11,1,N,A,N,B,B,D,3,B,B,10,1,A,I,Y,77,8,N,9,E,2,34,1,1,7,Y,Y,D,2,3
15007,0,5,6,2,B,A,Y,B,B,D,12,B,B,10,1,A,B,Y,69,6,N,17,A,2,31,1,12,3,Y,Y,E,2,4
15019,1,17,14,1,B,I,Y,B,B,G,2,H,B,10,1,A,K,Y,96,9,Y,15,A,2,40,1,2,4,Y,Y,E,2,1
15020,0,18,10,6,N,K,N,B,B,E,12,J,B,20,1,A,K,N,43,7,N,18,A,4,25,1,19,7,N,N,A,3,6
15023,1,2,17,1,C,A,Y,B,B,D,7,F,B,15,2,A,B,N,51,19,Y,11,A,2,37,1,23,6,Y,N,E,3,9
15025,0,17,6,4,N,K,N,B,B,E,12,H,B,10,1,A,J,N,87,9,Y,10,A,2,31,1,5,7,Y,N,C,4,5
15026,1,16,8,3,B,A,N,B,B,D,7,B,B,15,1,C,G,N,53,9,Y,6,B,2,40,1,5,3,N,N,A,4,1
15027,0,3,10,7,C,H,N,B,B,E,2,H,B,15,1,A,M,N,13,14,N,4,B,2,31,1,1,6,N,N,A,4,1
15029,1,9,16,4,N,A,N,B,B,D,12,B,B,10,1,A,B,N,30,8,N,3,B,2,37,1,12,3,N,N,A,2,1
15034,0,9,18,6,W,I,Y,B,B,E,3,H,B,5,1,A,R,Y,98,11,N,15,A,3,37,1,23,3,Y,Y,E,4,6
15035,1,6,21,2,N,A,N,B,B,B,2,L,B,10,1,A,A,N,79,21,Y,4,C,2,40,1,5,4,Y,N,E,2,1
15037,0,6,8,1,B,A,Y,B,B,D,2,B,B,15,3,A,I,N,31,8,N,2,A,1,31,1,4,4,Y,N,E,1,1
15039,0,10,2,1,N,C,Y,B,B,D,7,L,B,15,1,A,B,N,23,10,N,6,A,2,40,1,1,4,Y,N,E,6,2
15041,1,2,9,6,C,A,N,B,B,B,8,B,B,15,1,N,B,Y,88,13,Y,8,C,2,31,1,18,2,Y,Y,E,2,1
15042,0,10,4,3,N,C,Y,B,B,D,8,L,B,15,2,A,I,Y,73,26,Y,8,A,4,40,2,16,4,Y,Y,E,4,3
15044,0,2,15,2,C,H,N,B,B,E,12,H,B,10,1,A,R,N,48,11,N,12,B,1,34,1,22,3,Y,N,E,2,1
15045,0,9,4,3,B,A,Y,B,B,D,8,B,B,20,3,A,I,N,26,8,N,5,A,2,31,1,11,3,Y,N,D,2,3
15048,1,6,3,2,N,B,N,B,B,D,12,B,B,20,1,A,I,Y,51,9,N,11,C,2,37,1,8,7,Y,Y,E,2,2
15049,1,8,19,2,W,A,N,B,B,D,3,B,B,10,1,A,D,N,25,13,Y,22,A,1,34,1,2,3,N,N,E,1,1
15051,1,7,7,1,E,K,N,B,B,E,12,H,B,20,3,A,N,N,24,11,N,10,A,2,31,1,14,1,Y,N,E,2,4
15053,1,15,10,3,B,C,Y,B,B,D,7,B,A,15,1,A,I,N,43,21,N,4,A,1,34,1,22,3,Y,N,E,1,1
15055,1,12,8,4,N,K,N,B,B,E,7,H,B,15,2,A,J,N,18,16,Y,14,A,2,28,1,25,6,N,N,A,2,2
15056,1,2,17,1,C,A,N,B,B,C,12,B,B,10,2,N,B,N,60,22,N,18,D,2,28,1,25,4,Y,N,E,2,5
15057,1,8,6,4,B,A,Y,B,B,B,3,A,B,5,2,A,B,N,83,14,N,10,A,2,22,1,16,7,Y,N,E,4,1
15060,1,7,12,4,B,K,N,B,B,E,3,J,B,20,1,A,K,N,96,9,N,22,A,3,25,1,21,4,Y,N,E,3,1
15067,1,6,17,2,B,A,Y,B,B,D,7,B,B,10,2,A,B,N,52,9,Y,12,A,2,40,1,19,1,Y,N,E,2,12
15069,1,12,7,3,N,H,N,B,B,E,3,J,B,20,1,A,J,N,50,12,N,4,B,1,40,1,1,6,N,N,A,1,1
15072,0,13,13,3,C,H,Y,B,D,D,12,B,B,10,1,A,I,N,41,18,Y,4,B,1,37,1,12,5,N,N,A,1,1
15073,1,5,4,3,C,K,Y,B,B,E,8,H,B,20,1,A,K,Y,44,8,Y,5,C,2,34,1,18,6,Y,Y,E,2,2
15074,1,13,18,4,N,C,Y,B,B,D,8,E,B,20,2,A,I,N,78,17,N,8,B,2,37,1,17,4,Y,N,C,2,1
15075,0,10,19,5,N,H,N,B,B,E,8,H,B,20,1,A,L,N,51,18,N,3,B,2,40,1,15,5,Y,N,E,2,1
15079,1,16,5,1,N,C,Y,B,B,D,3,B,B,10,3,A,B,N,40,10,N,3,C,2,28,1,2,3,Y,N,E,2,1
15081,1,5,5,4,C,A,N,B,B,D,3,D,B,20,1,N,C,N,31,5,N,6,A,2,40,1,12,5,N,N,A,3,1
15083,1,8,12,3,N,A,Y,B,B,D,3,B,B,15,1,A,B,Y,56,16,N,10,C,2,28,1,6,5,Y,Y,E,3,6
15085,1,9,20,7,W,I,Y,B,B,E,12,H,C,20,1,A,M,N,74,12,N,21,A,1,22,1,16,1,Y,N,E,1,2
15087,0,13,5,4,N,C,Y,B,B,D,7,B,B,15,3,A,I,N,25,14,N,10,A,2,34,1,18,1,Y,N,E,2,7
15089,1,3,19,2,B,B,N,B,D,D,3,B,B,10,1,A,A,N,63,10,N,5,C,2,40,1,8,4,Y,N,D,3,1
15091,1,6,18,3,B,I,N,B,B,E,8,H,B,15,1,A,R,Y,88,9,N,15,A,2,22,1,19,4,Y,Y,E,2,10
15092,1,3,1,1,B,B,Y,B,B,D,2,A,B,20,1,A,I,N,61,9,Y,11,A,4,25,1,10,4,N,N,A,4,6
15093,0,14,20,1,N,C,N,B,B,D,12,A,B,10,1,A,I,N,64,14,N,2,B,2,31,1,3,2,N,N,A,2,1
15094,0,2,4,6,C,K,N,B,B,E,8,H,B,10,2,N,J,N,51,12,N,7,A,1,40,1,23,4,Y,N,E,4,1
15098,1,9,12,2,B,H,N,B,B,D,8,B,B,10,1,A,D,N,89,16,N,14,A,2,37,1,9,6,Y,N,E,2,1
15101,1,6,17,1,H,A,Y,B,B,D,12,B,B,10,3,A,B,N,64,8,N,11,A,2,22,1,18,1,Y,N,E,2,7
15102,1,13,18,2,N,H,Y,B,B,B,7,B,B,15,1,A,B,N,28,15,N,5,B,2,31,1,16,7,N,N,A,6,1
15106,0,13,12,4,B,I,Y,B,B,E,3,H,B,5,1,D,Q,Y,79,11,N,8,A,2,40,1,17,6,Y,Y,E,2,3
15113,1,17,12,5,B,H,N,B,B,E,12,J,B,10,3,A,J,N,74,4,N,7,B,1,34,1,15,3,N,N,E,1,1
15114,1,14,12,3,E,K,Y,B,B,E,3,H,C,20,1,A,R,N,87,16,Y,13,A,2,37,1,19,6,Y,N,E,3,1
15116,0,5,15,2,C,A,N,B,B,D,3,B,B,15,2,N,B,N,38,10,N,1,A,2,40,1,18,5,Y,N,E,2,1
15118,1,15,24,3,N,K,N,B,B,E,12,H,A,20,1,A,K,Y,62,13,N,14,C,1,25,1,8,3,N,Y,C,3,1
15120,1,7,19,1,B,A,Y,B,B,D,12,B,B,20,1,A,I,N,83,7,N,21,A,1,25,1,9,6,Y,N,C,1,1
15122,0,6,17,5,B,I,N,B,B,E,2,J,B,10,1,A,R,Y,98,6,N,16,A,2,31,1,1,3,Y,Y,E,2,5
15123,1,15,10,4,N,C,Y,B,B,D,12,B,B,20,1,A,I,N,30,11,Y,10,A,3,25,1,16,3,Y,N,E,4,3
15124,1,5,17,2,B,A,N,B,B,D,3,B,B,20,1,A,B,N,73,10,Y,3,A,2,34,1,6,5,Y,N,E,2,1
15126,1,19,15,4,N,C,Y,B,B,D,8,L,B,15,1,A,E,N,67,18,Y,9,A,2,34,1,22,3,Y,N,E,3,4
15128,0,19,7,5,N,A,Y,B,B,D,12,B,B,10,1,A,B,N,36,9,N,11,A,1,40,1,17,5,N,N,A,1,3
15129,0,2,4,3,N,K,N,B,B,E,3,J,B,10,1,A,R,N,45,11,Y,13,A,2,40,1,21,6,Y,N,E,2,2
15130,0,6,17,4,B,I,Y,B,B,E,12,N,B,15,3,A,R,N,86,9,Y,16,A,1,31,1,20,3,Y,N,C,1,8
15134,1,3,2,2,G,B,Y,B,C,D,8,L,B,15,1,C,E,N,71,10,N,7,C,2,22,1,5,5,Y,N,E,3,1
15137,1,15,5,3,G,K,N,B,B,E,8,H,B,15,1,A,K,N,87,13,N,12,A,2,40,1,16,1,Y,N,E,2,4
15138,1,2,17,3,C,B,N,B,D,D,8,B,C,10,2,A,B,N,52,15,N,13,A,4,34,1,24,3,Y,N,E,5,6
15140,1,12,19,3,E,K,N,B,B,F,12,H,B,5,1,H,K,N,35,21,Y,8,A,3,28,1,20,5,Y,N,E,4,4
15145,0,10,4,1,N,K,N,B,C,E,3,J,B,20,1,A,R,N,27,9,Y,18,A,3,31,1,17,5,N,N,A,3,1
15146,1,1,16,1,B,K,N,B,B,E,8,H,B,10,1,A,R,N,39,12,N,9,A,1,28,1,21,6,Y,N,D,1,1
15147,0,7,14,1,B,A,Y,B,B,D,8,B,B,20,1,A,B,Y,25,9,N,17,A,1,28,1,16,6,N,Y,E,1,5
15152,1,19,7,5,N,K,Y,B,B,E,12,H,B,10,1,A,J,N,50,8,Y,10,A,2,40,1,5,5,N,N,A,2,1
15154,1,9,20,4,B,C,N,B,B,D,3,B,B,5,3,A,E,N,53,12,N,6,A,2,31,1,5,6,Y,N,E,4,2
15155,1,1,15,1,C,A,Y,B,B,C,12,F,B,10,3,A,A,N,38,16,N,6,A,4,34,1,21,6,Y,N,D,4,1
15156,0,9,16,7,E,H,N,B,B,D,12,L,B,20,3,A,E,N,93,20,Y,20,A,1,31,1,5,2,N,N,A,1,11
15161,1,17,10,7,B,I,N,B,B,E,12,I,B,10,2,A,K,N,51,10,Y,11,A,1,25,1,23,6,Y,N,D,1,4
15165,1,5,3,2,B,I,N,B,B,E,3,J,B,15,1,A,K,N,47,8,N,7,A,2,31,1,8,6,Y,N,E,5,1
15166,1,12,16,3,B,C,Y,D,B,D,12,B,B,15,2,A,I,N,47,11,N,13,A,3,22,1,3,1,Y,N,E,3,7
15175,1,9,1,1,N,H,N,B,B,D,8,B,B,20,1,A,C,N,56,15,N,4,B,2,37,1,12,7,N,N,A,2,1
15182,1,6,18,2,N,K,Y,B,B,E,8,J,B,20,1,A,K,N,29,10,N,9,A,3,22,1,1,6,Y,N,C,3,8
15184,1,2,17,5,N,H,N,B,B,D,3,B,B,20,1,S,I,N,50,17,Y,14,A,2,25,1,1,4,Y,N,E,2,4
15185,1,14,7,2,N,K,N,B,B,E,8,H,B,10,1,A,R,N,84,13,N,20,A,2,40,1,20,3,Y,N,E,2,12
15186,1,1,20,3,C,B,Y,B,B,D,8,L,D,10,1,A,A,N,91,29,Y,14,A,1,31,1,1,1,Y,N,D,1,2
15189,1,2,17,1,C,A,N,B,B,D,12,F,B,20,2,A,I,N,51,10,N,5,B,1,34,1,23,6,Y,N,E,4,4
15191,0,13,5,3,N,H,Y,B,B,E,8,J,B,20,2,F,R,N,52,10,N,6,E,1,25,1,1,7,N,N,B,3,4
15192,1,7,18,3,B,I,N,B,D,E,3,J,B,10,1,A,R,N,66,9,N,16,A,1,25,1,3,6,Y,N,C,1,12
15194,1,10,18,3,W,I,N,B,B,F,8,J,B,15,1,A,R,Y,61,19,N,14,A,2,37,2,17,2,Y,Y,E,2,8
15196,1,14,19,2,B,H,N,B,B,D,8,B,B,20,3,A,A,N,63,11,N,4,A,2,40,1,18,1,N,N,D,3,2
15198,1,3,20,6,W,H,N,B,B,D,12,B,B,15,1,A,D,N,90,13,Y,13,A,2,25,1,25,6,Y,N,D,7,1
15199,1,1,12,6,C,K,Y,B,B,E,8,H,B,10,2,N,R,N,28,16,N,14,A,2,31,1,21,1,N,N,E,2,4
15200,0,3,12,2,B,I,N,B,B,E,8,I,B,15,1,A,R,N,83,18,N,15,A,2,34,1,16,4,Y,N,E,2,10
15204,0,1,7,1,C,K,N,B,D,E,7,J,B,10,4,N,P,N,37,13,N,11,A,2,34,1,21,3,Y,N,C,6,1
15206,0,4,19,5,N,H,N,B,B,D,3,A,B,10,3,A,I,N,62,10,N,13,A,2,31,1,20,6,Y,N,D,2,1
15207,1,14,22,4,N,H,N,B,B,E,12,H,D,10,1,A,R,N,67,15,N,7,B,2,31,1,17,2,N,N,A,5,1
15209,0,11,20,4,N,K,N,B,B,E,8,H,D,10,1,A,K,Y,95,11,Y,11,A,4,37,2,13,6,Y,Y,E,4,3
15211,0,3,8,5,N,A,Y,B,B,D,2,B,B,10,1,A,B,N,91,11,N,22,A,2,40,1,15,6,Y,N,E,2,1
15215,1,4,15,4,B,H,N,B,B,E,8,N,C,10,1,A,K,Y,92,7,N,5,B,2,40,1,1,7,Y,Y,E,2,1
15216,1,11,18,3,N,K,Y,B,B,E,8,J,B,5,1,A,J,N,52,24,Y,5,A,2,22,1,16,6,Y,N,E,2,2
15220,1,5,11,2,B,A,Y,B,B,D,12,B,B,20,1,A,B,Y,55,8,N,13,C,2,34,1,17,1,Y,Y,E,2,1
15222,1,12,7,3,N,H,N,B,B,D,8,B,B,10,3,A,D,N,43,17,Y,15,A,3,31,1,3,4,Y,N,E,3,5
15224,1,6,15,4,B,A,Y,B,B,B,7,B,B,15,3,A,E,N,49,10,N,13,C,3,25,1,16,6,Y,N,C,3,1
15226,0,7,10,3,B,K,Y,A,B,E,8,H,B,15,1,A,K,N,95,10,N,17,A,2,25,1,3,1,Y,N,E,2,7
15227,0,8,19,3,N,K,N,B,B,E,8,H,B,15,1,A,N,N,36,20,N,6,A,2,40,1,21,5,N,N,A,2,3
15231,0,2,17,6,C,K,N,B,B,F,3,H,C,20,2,A,K,N,57,19,N,11,C,2,40,1,24,7,Y,N,E,2,5
15233,1,4,7,2,N,K,N,B,B,E,7,H,B,15,3,C,K,N,55,11,Y,6,C,2,40,1,3,4,Y,N,E,2,1
15234,1,13,19,3,N,C,N,B,B,D,7,B,B,15,1,A,I,Y,81,13,N,16,A,1,40,1,19,6,N,Y,E,4,12
15237,1,11,19,3,W,H,N,B,B,E,7,H,B,15,1,A,K,Y,39,16,N,13,B,4,31,1,11,3,Y,Y,D,4,1
15241,1,9,18,4,N,A,N,B,B,D,12,B,B,20,1,A,I,N,55,7,N,3,B,2,34,1,8,6,N,N,A,4,1
15243,0,4,10,4,N,H,Y,B,B,D,3,B,B,20,1,A,B,N,83,8,Y,10,A,3,34,1,17,6,Y,N,D,5,5
15245,0,6,19,1,B,B,Y,B,B,D,8,B,B,20,3,A,I,N,99,10,N,16,A,2,37,1,20,5,Y,N,E,2,11
15246,0,16,1,1,N,H,N,D,B,E,7,H,B,10,1,A,N,N,16,13,Y,6,B,2,34,1,17,7,N,N,A,2,1
15248,0,14,20,3,E,H,Y,B,B,D,8,E,B,5,1,H,I,N,86,11,Y,6,A,2,37,1,15,7,Y,N,E,2,3
15249,1,19,16,5,W,I,N,B,B,E,8,H,B,15,1,A,R,N,45,16,Y,11,A,4,22,1,23,6,Y,N,E,5,1
15250,1,17,18,3,N,K,N,B,B,E,8,H,B,15,1,A,K,Y,88,8,N,10,A,1,37,1,16,3,Y,Y,D,1,2
15253,1,19,11,2,N,C,Y,B,B,D,3,B,B,10,3,A,I,N,41,13,N,8,B,2,25,1,19,2,Y,N,E,3,1
15254,0,16,4,2,B,A,N,B,B,D,8,B,B,15,3,A,G,Y,73,8,Y,14,A,1,34,1,17,3,Y,Y,D,3,9
15258,0,11,19,3,N,C,N,D,B,D,7,L,B,10,1,A,E,N,50,14,N,14,C,2,22,1,1,3,Y,N,E,2,1
15259,1,8,7,5,N,H,N,B,B,B,3,B,B,20,1,A,B,N,38,12,Y,4,A,2,31,1,1,7,Y,N,E,2,1
15261,1,18,19,3,N,H,N,B,B,E,12,H,B,10,1,A,N,N,42,15,N,3,B,1,25,1,17,7,N,N,A,1,1
15262,1,5,2,1,N,K,N,B,B,E,3,J,B,20,1,A,K,N,88,10,N,11,A,2,25,1,17,3,Y,N,E,3,1
15263,1,3,14,5,N,K,Y,B,B,E,3,I,B,5,1,A,K,Y,95,11,N,16,A,2,28,1,17,3,Y,Y,E,2,1
15264,1,1,18,4,C,K,N,B,B,E,3,H,B,10,2,A,K,N,36,15,Y,19,A,4,40,1,21,3,Y,N,D,1,5
15269,1,9,3,2,B,C,N,B,B,D,3,L,B,20,3,A,B,N,49,18,N,6,A,3,37,2,22,3,Y,N,E,3,2
15270,1,7,14,4,B,I,N,D,B,E,12,J,B,10,1,A,R,N,80,9,N,13,A,1,37,1,9,3,N,N,A,1,4
15271,0,4,7,3,S,A,N,B,B,D,7,B,B,15,2,A,B,N,74,10,N,4,B,2,37,1,25,4,Y,N,E,3,11
15273,0,11,20,4,N,C,N,B,B,D,8,L,B,15,1,A,I,N,13,11,N,12,C,3,31,3,15,3,Y,N,C,3,1
15274,1,8,15,4,B,H,N,B,A,D,12,L,D,10,1,A,B,N,57,16,N,6,C,3,34,1,2,6,Y,N,E,3,1
15277,1,19,18,5,N,K,Y,B,B,E,12,J,B,10,1,A,K,N,73,9,Y,14,A,2,40,1,20,3,Y,N,D,2,3
15279,0,8,19,5,W,C,N,A,B,D,2,B,B,20,1,A,E,N,98,11,N,20,A,1,37,1,19,3,Y,N,E,1,12
15280,0,17,9,6,B,B,N,B,D,D,8,B,B,20,1,A,B,N,88,9,N,5,B,2,40,1,18,7,Y,N,C,2,1
15281,1,14,4,2,E,H,N,B,B,D,3,L,B,15,1,A,I,N,64,18,N,10,A,1,25,1,12,6,N,N,A,1,2
15284,1,3,11,4,N,K,N,B,B,E,12,J,B,20,2,A,K,N,35,9,N,17,A,4,37,1,21,2,Y,N,D,4,6
15287,1,12,22,4,W,H,N,B,B,E,3,H,B,15,1,A,K,N,52,23,N,6,B,2,31,1,4,7,N,N,A,4,1
15290,1,10,17,4,N,K,N,B,B,E,12,J,B,10,1,A,J,N,26,14,Y,7,A,2,31,1,1,4,N,N,E,3,1
15292,1,10,22,2,N,H,N,B,B,E,8,H,B,10,1,A,R,N,43,10,Y,5,B,1,31,2,11,5,Y,N,E,3,1
15293,1,19,4,3,N,C,Y,B,B,D,3,L,B,20,1,A,D,N,35,16,N,14,B,2,25,1,18,4,N,N,A,2,1
15301,1,18,5,3,E,A,N,B,A,D,8,B,B,20,1,A,E,N,85,6,N,15,A,2,40,1,1,6,Y,N,E,2,2
15303,1,14,18,2,E,H,Y,B,B,E,2,J,B,15,1,H,R,N,21,25,Y,14,B,2,25,1,15,4,Y,N,E,2,2
15304,0,11,18,3,N,H,N,B,B,D,8,B,B,20,1,A,A,N,50,13,N,4,C,1,37,1,14,7,Y,N,E,1,1
15307,1,2,16,3,N,B,Y,B,B,D,3,F,B,5,3,A,I,N,45,17,N,11,A,4,22,1,22,3,Y,N,E,2,2
15309,1,15,1,1,N,H,N,B,D,E,12,H,C,15,1,A,R,N,53,8,N,4,B,2,34,1,18,7,Y,N,D,3,1
15310,1,15,19,2,N,H,Y,B,B,D,2,B,B,15,1,A,D,N,3,12,Y,8,A,2,40,1,4,3,Y,N,C,2,1
15311,0,16,2,1,B,I,N,B,B,E,3,J,B,10,3,A,R,N,17,10,N,10,A,1,40,1,1,1,N,N,A,1,5
15314,1,5,3,2,N,K,Y,B,B,E,12,I,B,15,3,A,K,N,50,8,N,3,A,2,22,1,12,7,Y,N,E,3,3
15318,1,2,1,3,C,A,Y,B,B,D,3,B,B,15,2,A,C,N,50,10,N,12,C,3,40,1,23,5,Y,N,E,2,1
15319,1,4,8,5,N,K,Y,B,B,E,2,M,B,5,3,A,R,N,87,6,Y,12,A,1,28,1,16,2,Y,N,B,1,6
15323,1,11,3,2,B,H,Y,B,B,E,12,H,B,20,1,A,K,N,58,15,N,4,B,1,31,1,19,3,N,N,A,1,1
15328,1,5,21,5,N,K,Y,B,B,E,12,I,B,10,1,A,K,Y,99,11,N,15,A,2,40,1,14,7,Y,Y,E,2,4
15329,1,6,5,3,B,A,N,B,B,B,12,B,B,15,3,A,B,N,46,11,N,9,A,2,40,1,15,3,Y,N,E,5,3
15333,1,12,8,6,N,K,Y,B,B,E,12,H,B,20,1,A,J,N,49,14,Y,8,A,2,31,1,4,3,N,N,A,2,3
15335,1,6,18,2,B,A,N,B,B,D,7,B,B,15,3,A,I,N,28,9,N,4,A,2,34,1,7,1,Y,N,E,2,1
15336,1,4,12,2,H,K,N,A,B,F,8,H,B,20,3,A,K,N,49,8,N,9,A,2,22,1,1,7,Y,N,E,5,8
15338,1,12,19,2,C,H,N,B,B,D,12,L,A,10,1,A,D,N,42,15,N,12,B,2,40,1,2,3,N,N,A,4,1
15339,0,3,14,2,N,K,N,B,B,E,8,J,B,5,1,A,K,N,97,16,Y,13,A,2,37,1,18,5,Y,N,E,2,10
15340,0,12,2,1,N,A,N,B,B,D,2,L,B,20,1,A,I,N,7,8,N,3,B,2,40,1,2,7,N,N,A,4,1
15341,0,17,9,1,N,K,N,B,B,E,12,J,D,15,1,A,R,N,46,9,N,9,A,1,37,1,24,4,N,N,A,3,3
15342,1,6,14,3,B,A,N,B,B,D,8,B,B,15,1,A,B,N,59,9,N,4,A,1,31,1,1,1,Y,N,E,1,1
15343,0,9,8,6,N,K,Y,B,B,F,8,H,B,20,1,A,M,N,68,11,Y,9,C,2,40,1,11,4,Y,N,E,3,1
15345,0,14,2,1,E,H,N,B,B,D,8,L,B,20,3,D,I,Y,87,10,Y,11,A,2,40,1,19,3,Y,Y,E,3,2
15348,0,8,8,2,W,H,N,B,B,E,3,H,B,20,1,A,K,N,26,12,Y,9,B,2,34,1,17,3,Y,N,E,2,1
15349,1,14,19,1,B,H,N,B,B,D,3,A,B,15,1,D,I,N,71,12,Y,14,A,1,37,1,19,4,N,N,A,1,4
15350,1,9,22,6,B,C,Y,B,B,D,8,B,B,15,2,A,E,N,52,12,N,3,B,2,37,1,17,7,Y,N,D,2,1
15352,1,4,7,5,W,A,Y,B,B,D,12,L,B,10,1,A,I,Y,89,7,Y,16,A,2,31,1,2,3,Y,Y,E,2,12
15353,1,9,20,1,B,H,Y,B,B,E,3,I,B,15,3,A,P,N,42,22,N,17,D,1,37,1,1,3,Y,N,C,1,12
15356,1,13,9,4,C,K,Y,B,B,E,3,H,B,15,1,A,R,Y,87,13,N,21,A,1,37,2,1,5,Y,Y,E,1,1
15357,1,13,8,1,B,C,N,B,B,D,8,B,B,10,1,A,I,Y,68,13,Y,20,A,3,25,2,13,6,Y,Y,E,3,5
15359,1,15,17,4,N,H,N,B,B,D,12,B,B,10,1,A,B,N,94,15,Y,16,A,2,28,1,17,3,Y,N,C,2,10
15362,1,7,15,2,B,A,N,B,B,D,2,B,B,15,3,A,B,N,10,7,N,11,A,2,37,1,17,7,Y,N,E,2,6
15363,0,14,23,7,E,C,N,B,B,D,8,B,B,10,3,A,I,N,85,26,N,19,A,2,34,2,15,7,Y,N,C,2,5
15364,1,6,17,5,H,A,Y,B,B,D,3,B,B,20,1,A,B,Y,95,9,Y,16,A,1,40,1,18,7,Y,Y,E,1,5
15366,0,7,9,6,B,I,Y,B,B,E,3,H,B,10,3,A,J,Y,96,9,N,20,A,2,28,1,1,3,Y,Y,E,3,3
15371,0,12,9,3,N,C,N,B,B,D,8,L,B,15,1,A,B,N,34,14,N,4,A,2,31,1,5,4,Y,N,E,2,2
15374,1,7,17,1,H,K,N,B,B,E,8,H,B,20,1,A,M,Y,78,8,Y,17,A,2,37,1,4,6,Y,Y,E,2,6
15375,0,6,2,1,B,I,Y,B,B,E,12,H,B,10,3,A,L,Y,84,8,Y,13,A,4,25,1,23,5,Y,Y,E,4,2
15377,1,5,17,5,B,A,N,B,B,D,3,B,B,10,1,A,B,N,63,10,Y,10,A,3,40,1,8,6,Y,N,C,4,6
15378,1,19,8,5,E,H,Y,B,B,D,8,B,B,20,3,A,I,N,88,27,Y,15,A,2,28,1,4,5,Y,N,D,2,8
15379,1,1,18,4,C,B,Y,B,B,D,12,B,B,15,2,A,B,N,40,16,N,9,A,2,22,1,21,5,Y,N,D,4,1
15381,1,4,11,8,N,C,N,B,B,D,8,B,B,5,3,A,I,Y,96,10,N,11,A,1,28,1,2,6,Y,Y,C,3,5
15382,1,9,18,4,N,H,Y,B,B,E,2,H,B,20,1,A,R,N,83,10,N,12,B,3,25,1,7,7,Y,N,C,3,4
15383,0,14,5,3,E,A,N,B,D,D,8,B,B,5,3,A,A,N,63,9,Y,3,B,1,37,1,8,4,N,N,A,1,1
15385,1,12,20,1,N,K,N,B,C,E,3,J,B,10,1,A,R,N,35,10,N,10,A,5,34,1,4,7,Y,N,E,7,5
15387,1,7,3,2,G,A,N,B,B,D,12,B,B,15,2,A,I,N,88,8,N,11,A,2,40,1,11,5,Y,N,E,2,1
15388,0,19,5,4,N,B,Y,D,B,D,3,B,B,10,1,A,B,N,22,8,Y,13,A,2,25,1,8,6,N,N,A,3,4
15390,0,3,18,6,B,I,Y,B,D,E,8,H,B,10,1,A,R,N,59,10,N,4,A,2,22,1,20,4,Y,N,E,2,1
15392,1,17,20,1,N,K,Y,B,B,E,8,H,B,15,3,A,R,N,15,7,N,17,A,2,31,1,16,6,Y,N,E,2,8
15393,0,6,17,5,B,A,Y,B,B,D,8,B,B,20,3,A,B,N,82,8,Y,16,A,2,37,1,19,3,N,N,C,2,5
15396,0,6,4,3,N,A,Y,B,B,B,8,A,B,20,3,A,B,N,79,16,Y,5,A,2,31,1,22,7,Y,N,E,3,1
15399,1,9,16,3,W,I,N,B,B,E,2,H,B,20,1,A,R,N,19,8,N,14,A,1,40,1,13,3,N,N,A,2,4
15400,1,14,7,2,N,K,Y,B,B,E,2,H,B,10,1,A,R,N,88,15,Y,6,A,2,37,1,20,6,Y,N,E,2,2
15401,0,6,3,2,B,I,N,B,B,E,3,H,B,10,3,A,R,N,32,8,N,12,A,4,22,1,1,3,Y,N,E,4,8
15402,1,9,18,2,N,H,Y,B,B,E,8,H,B,15,2,A,M,N,18,7,N,5,B,1,40,1,1,4,Y,N,C,5,1
